riasec_R,riasec_I,riasec_A,riasec_S,riasec_E,riasec_C,notes_n2,notes_n1,notes_actuelle,tendance_notes,moyenne_generale,score_60_40,match_riasec,ecart_notes_seuil,nb_consultations,en_favori,score_similarite_recherche,domaine_declare_match_filiere,constance_ambition,nb_echanges_domaine,serie,filiere_choisie,niveau_actuel,region,ordre,sexe,annee_session,statut
1,1,0,1,0,0,8.82,6.99,8.62,1,8.62,0.8041999999999999,0.578,-0.13800000000000007,0,0,0.0,0.5,0.5,0,A,Sciences de l'Éducation,BAC_1,Centrale,public,M,2023,REORIENTE
1,1,0,1,0,0,11.8,11.59,12.06,1,12.06,0.4351999999999999,0.236,0.20600000000000004,0,0,0.0,0.5,0.5,0,D,Biologie,BAC_1,Centrale,public,F,2023,ADMIS
1,1,0,1,0,0,9.66,10.19,10.21,1,10.21,0.5642,0.494,0.021000000000000085,0,0,0.0,0.5,0.5,0,D,Génie Électrique,BAC_1,Grand Lomé,public,M,2024,REORIENTE
1,1,0,1,0,0,12.54,12.2,12.99,1,12.99,0.5546,0.386,0.29900000000000004,0,0,0.0,0.5,0.5,0,D,Génie Informatique,BAC_1,Centrale,public,M,2023,REORIENTE
1,1,0,1,0,0,9.71,9.15,10.33,1,10.33,0.5932,0.451,0.03300000000000001,0,0,0.0,0.5,0.5,0,D,Biologie,BAC_1,Plateaux Est,public,F,2023,REORIENTE
1,1,0,1,0,0,11.05,10.97,10.38,-1,10.38,0.6386000000000001,0.713,0.038000000000000075,0,0,0.0,0.5,0.5,0,D,Gestion des Entreprises,BAC_1,Grand Lomé,public,F,2024,ADMIS
1,1,0,1,0,0,6.63,6.57,7.83,1,7.83,0.5154000000000001,0.642,-0.217,0,0,0.0,0.5,0.5,0,G3,Sciences Infirmières,BAC_1,Plateaux Est,public,M,2024,REORIENTE
1,1,0,1,0,0,12.76,13.51,13.31,-1,13.31,0.5702,0.491,0.33100000000000007,0,0,0.0,0.5,0.5,0,A,Psychologie,BAC_1,Grand Lomé,public,M,2024,ADMIS
1,1,0,1,0,0,10.15,11.43,11.38,-1,11.38,0.73,0.67,0.13800000000000007,0,0,0.0,0.5,0.5,0,A,Psychologie,BAC_1,Savanes,public,F,2024,REORIENTE
1,1,0,1,0,0,8.64,9.57,9.69,1,9.69,0.4222,0.52,-0.03100000000000005,0,0,0.0,0.5,0.5,0,A,Psychologie,BAC_1,Plateaux Est,public,F,2024,REORIENTE
